Temps: 0.00
 Température: 20.21 +/- 5.16
 Voltage: 231.09 +/- 0.29
 PH: 5.22 +/- 0.00
 Temps: 3.12
 Température: 20.55 +/- 0.01
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 5.92
 Température: 20.56 +/- 0.01
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 8.71
 Température: 20.57 +/- 0.02
 Voltage: 231.55 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 11.50
 Température: 20.59 +/- 0.02
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 14.30
 Température: 20.60 +/- 0.02
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 17.09
 Température: 20.65 +/- 0.01
 Voltage: 231.18 +/- 0.39
 PH: 5.22 +/- 0.01
 Temps: 19.89
 Température: 20.67 +/- 0.02
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 22.68
 Température: 20.70 +/- 0.02
 Voltage: 231.36 +/- 0.48
 PH: 5.22 +/- 0.01
 Temps: 25.47
 Température: 20.71 +/- 0.01
 Voltage: 231.27 +/- 0.45
 PH: 5.22 +/- 0.01
 Temps: 28.27
 Température: 20.72 +/- 0.02
 Voltage: 231.27 +/- 0.45
 PH: 5.22 +/- 0.01
 Temps: 31.06
 Température: 20.73 +/- 0.01
 Voltage: 231.27 +/- 0.45
 PH: 5.22 +/- 0.01
 Temps: 33.86
 Température: 20.74 +/- 0.01
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 36.65
 Température: 20.73 +/- 0.02
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 39.44
 Température: 20.74 +/- 0.01
 Voltage: 231.64 +/- 0.48
 PH: 5.23 +/- 0.01
 Temps: 42.24
 Température: 20.76 +/- 0.01
 Voltage: 231.36 +/- 0.48
 PH: 5.22 +/- 0.01
 Temps: 45.03
 Température: 20.77 +/- 0.02
 Voltage: 231.55 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 47.83
 Température: 20.78 +/- 0.02
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 50.62
 Température: 20.78 +/- 0.02
 Voltage: 231.36 +/- 0.48
 PH: 5.22 +/- 0.01
 Temps: 53.41
 Température: 20.80 +/- 0.01
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 56.21
 Température: 20.81 +/- 0.01
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 59.00
 Température: 20.82 +/- 0.01
 Voltage: 231.36 +/- 0.48
 PH: 5.22 +/- 0.01
 Temps: 61.80
 Température: 20.83 +/- 0.00
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 Temps: 65.61
 Température: 20.85 +/- 0.02
 Voltage: 231.45 +/- 0.50
 PH: 5.22 +/- 0.01
 
